Code,Name,Sector,Open,High,Low,Close,SMA20,SMA50,SMA200,Shariah,Price,ADR%,Perf 5D%,Perf 1M%,Perf 3M%,EPS,P/E,Volume,Mkt Cap
1155,MAYBANK,Financial Services,10.54,10.66,10.5,10.64,11.075,11.1996,10.4348,,10.64,1.15,-3.27,-3.97,-6.12,0.86,12.372093,61428200,128694190080.0
1295,PBBANK,Financial Services,4.77,4.79,4.66,4.71,4.801,4.762,4.4783,,4.71,1.49,-1.26,0.64,-0.23,0.37,12.72973,108600800,91424358400.0
5347,TENAGA,Utilities,14.34,14.4,14.22,14.28,14.562,14.3537,13.4994,,14.28,1.46,-0.97,-1.79,2.85,0.83,17.204819,13992600,83240148992.0
1023,CIMB,Financial Services,7.5,7.54,7.42,7.48,7.7975,7.7032,7.5587,,7.48,1.61,-3.48,-2.35,-3.46,0.72,10.388888,56354400,80810704896.0
5225,IHH,Healthcare,9.0,9.03,8.91,9.01,8.951,8.893,8.2999,,9.01,1.45,0.56,2.15,1.17,0.24,37.541668,56471200,79613747200.0
8869,PMETAL,Basic Materials,9.12,9.25,8.95,9.0,8.8965,8.3314,7.0265,,9.0,2.48,-1.1,4.29,21.94,0.27,33.333332,37529200,74156556288.0
5819,HLBANK,Financial Services,21.46,21.48,20.88,20.88,22.016,22.1744,21.5167,,20.88,1.87,-5.09,-6.2,-8.27,2.12,9.849057,5599400,42812882944.0
5183,PCHEM,Basic Materials,5.48,5.48,5.21,5.21,5.563,5.6114,4.1759,,5.21,4.67,-8.6,-11.99,52.74,-0.22,33.974567,18922600,41679998976.0
5285,SDG,Consumer Defensive,5.85,5.9,5.81,5.81,6.0168,5.9475,5.4679,,5.81,2.23,-2.19,-4.72,6.63,0.36,16.138887,24848700,40180301824.0
5211,SUNWAY,Industrials,5.3,5.47,5.29,5.4,5.4115,5.3062,5.4077,,5.4,1.86,0.0,0.37,-3.72,1.56,3.4615386,25486300,36506271744.0
3816,MISC,Industrials,8.14,8.19,8.11,8.15,8.26,8.2526,7.7276,,8.15,2.23,-0.97,-2.63,0.69,0.39,20.897436,8319300,36379525120.0
6742,YTLPOWR,Utilities,4.05,4.18,4.0,4.16,4.1015,3.71,3.6421,,4.16,3.21,0.48,8.9,55.81,0.22,18.90909,36250300,35973562368.0
